nombre_cliente,Nombre,Apellido1,Apellido2,Direccion,Telefono,Email,pagina_web,Poblacion,codigo_postal,Tipo
Lacinia Incorporated,Buffy,Albert,Padilla,788-6478 Cubilia Street,667554280,pede.ac@google.com,http://ebay.com,Spain,49775,P
Elementum Incorporated,Mufutau,Foley,Shields,Ap #898-3543 Nulla Ave,654189623,sapien@outlook.edu,https://bbc.co.uk,Spain,81774,P
Arcu Vel Quam Limited,Phillip,Chen,Benjamin,"P.O. Box 445, 1263 Ridiculus Road",634132231,metus.eu@icloud.couk,http://baidu.com,Spain,12612,T
Nam Tempor Incorporated,Quon,Underwood,Galloway,Ap #741-5942 In Rd.,620564140,proin.ultrices@icloud.net,http://nytimes.com,Spain,38645,T
Vestibulum Nec Euismod LLC,Clio,Lloyd,Bright,9919 Dui St.,671799425,magnis.dis.parturient@outlook.net,https://netflix.com,Spain,15717,C
Interdum Inc.,Larissa,Vinson,Aguirre,886-1583 Proin Rd.,645090311,purus.ac@yahoo.edu,https://naver.com,Spain,12396,C
Donec At Arcu Corp.,Madaline,Kelly,Gould,Ap #870-6540 Erat. Street,681252565,rutrum.non.hendrerit@outlook.com,https://netflix.com,Spain,26794,P
Cras Vehicula Limited,Amy,Landry,Robertson,758-8556 Quis Ave,666684284,a.ultricies.adipiscing@aol.net,http://whatsapp.com,Spain,12185,P
Consequat Enim Corporation,Gil,Tyson,Roman,"P.O. Box 361, 1979 At, St.",625287948,magnis.dis.parturient@outlook.com,http://bbc.co.uk,Spain,46344,T
Diam Duis Limited,Caryn,Munoz,Lara,"P.O. Box 422, 1068 Tortor St.",646232664,lobortis.quam@google.edu,https://zoom.us,Spain,27416,T
Sem Consulting,Darryl,Duncan,Powers,"P.O. Box 461, 9192 Conubia St.",675557563,tincidunt.nibh.phasellus@outlook.couk,http://cnn.com,Spain,10574,C
Fusce Diam Limited,Emma,Bradford,Watkins,1402 Urna Rd.,622338332,tincidunt.nunc.ac@hotmail.edu,https://walmart.com,Spain,37391,C
Scelerisque Corporation,Prescott,Hurst,Potter,1754 Fermentum Road,641371242,amet.ornare.lectus@yahoo.com,https://youtube.com,Spain,64427,P
Lectus Sit Amet Industries,Roary,Buchanan,Frost,"1193 Nec, Av.",601728257,in.lorem@outlook.couk,http://nytimes.com,Spain,14252,P
Sed Est Inc.,Barrett,Lindsey,Coffey,"Ap #550-608 Dui, Street",672777303,vulputate@google.org,http://facebook.com,Spain,72123,T
Consectetuer PC,Tanya,Peters,Rush,Ap #490-4911 Dictum Rd.,632835246,nulla.tempor@icloud.edu,https://ebay.com,Spain,46811,T
Pellentesque Tellus Sem Incorporated,Lev,Mack,Mccarty,"P.O. Box 424, 525 Cubilia Rd.",618424106,euismod@google.net,https://nytimes.com,Spain,29485,C
Pharetra Sed Hendrerit Limited,Hammett,Bush,Stanton,Ap #112-6270 Eu Avenue,617443257,purus.in.molestie@google.org,http://wikipedia.org,Spain,18232,C
Sit Amet Consectetuer Corp.,Jorden,Hurley,Mcintyre,"320-1801 Montes, Ave",687882862,posuere.cubilia@outlook.ca,http://wikipedia.org,Spain,34580,P
Ut Ipsum LLP,Laurel,Sims,Holder,"Ap #741-6397 Amet, Avenue",671308853,non.egestas@yahoo.edu,http://baidu.com,Spain,15732,P
